time_utc,source_forecast_date,decision_time_utc,weather_run_turbine_1_utc,weather_run_turbine_2_utc,training_cutoff_inclusive,turbine_1_normalized_power,turbine_2_normalized_power,farm_equal_capacity_mean_normalized_power
2026-02-01T00:00:00Z,2026-01-31,2026-01-31T06:00:00Z,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-30,0.010545,0.0102,0.010372
2026-02-01T01:00:00Z,2026-01-31,2026-01-31T06:00:00Z,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-30,0.011965,0.011361,0.011663
2026-02-01T02:00:00Z,2026-01-31,2026-01-31T06:00:00Z,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-30,0.012344,0.011703,0.012023
2026-02-01T03:00:00Z,2026-01-31,2026-01-31T06:00:00Z,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-30,0.030611,0.028865,0.029738
2026-02-01T04:00:00Z,2026-01-31,2026-01-31T06:00:00Z,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-30,0.06211,0.058702,0.060406
2026-02-01T05:00:00Z,2026-01-31,2026-01-31T06:00:00Z,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-30,0.040364,0.038041,0.039203
2026-02-01T06:00:00Z,2026-02-01,2026-02-01T06:00:00Z,2026-01-31T18:00:00Z,2026-01-31T18:00:00Z,2026-01-31,0.067585,0.063936,0.06576
2026-02-01T07:00:00Z,2026-02-01,2026-02-01T06:00:00Z,2026-01-31T18:00:00Z,2026-01-31T18:00:00Z,2026-01-31,0.039534,0.03726,0.038397
2026-02-01T08:00:00Z,2026-02-01,2026-02-01T06:00:00Z,2026-01-31T18:00:00Z,2026-01-31T18:00:00Z,2026-01-31,0.048708,0.045942,0.047325
2026-02-01T09:00:00Z,2026-02-01,2026-02-01T06:00:00Z,2026-01-31T18:00:00Z,2026-01-31T18:00:00Z,2026-01-31,0.085197,0.080866,0.083031
2026-02-01T10:00:00Z,2026-02-01,2026-02-01T06:00:00Z,2026-01-31T18:00:00Z,2026-01-31T18:00:00Z,2026-01-31,0.081087,0.076915,0.079001
2026-02-01T11:00:00Z,2026-02-01,2026-02-01T06:00:00Z,2026-01-31T18:00:00Z,2026-01-31T18:00:00Z,2026-01-31,0.165233,0.157907,0.16157
2026-02-01T12:00:00Z,2026-02-01,2026-02-01T06:00:00Z,2026-01-31T18:00:00Z,2026-01-31T18:00:00Z,2026-01-31,0.148551,0.141825,0.145188
2026-02-01T13:00:00Z,2026-02-01,2026-02-01T06:00:00Z,2026-01-31T18:00:00Z,2026-01-31T18:00:00Z,2026-01-31,0.168262,0.160839,0.16455
2026-02-01T14:00:00Z,2026-02-01,2026-02-01T06:00:00Z,2026-01-31T18:00:00Z,2026-01-31T18:00:00Z,2026-01-31,0.175329,0.167681,0.171505
2026-02-01T15:00:00Z,2026-02-01,2026-02-01T06:00:00Z,2026-01-31T18:00:00Z,2026-01-31T18:00:00Z,2026-01-31,0.17331,0.165726,0.169518
2026-02-01T16:00:00Z,2026-02-01,2026-02-01T06:00:00Z,2026-01-31T18:00:00Z,2026-01-31T18:00:00Z,2026-01-31,0.175329,0.167681,0.171505
